title,choice,id,parent_id,depth
Ton personnage est-il réel ?,r,1,,1
Ton personnage est-il français ?,o,2,1,2
Ton personnage est-il un personnage de jeu vidéo ?,n,782121,1,2
Ton personnage est-il français ?,p,1573699,1,2
Ton personnage est-il décédé ?,o,3,2,3
Ton personnage est-il américain ?,n,259552,2,3
Ton personnage est-il décédé ?,p,518057,2,3
Ton personnage porte-t-il des chaussures ?,o,782122,782121,3
Ton personnage a-t-il des cheveux ?,n,1044104,782121,3
Ton personnage porte-t-il des chaussures ?,p,1309263,782121,3
Ton personnage a-t-il un prénom hors du commun ?,o,1573700,1573699,3
Ton personnage est-il un personnage de jeu vidéo ?,n,1839420,1573699,3
Ton personnage est-il décédé ?,p,2105140,1573699,3
Ton personnage est-il un personnage de jeu vidéo ?,o,2105141,2105140,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,n,2193714,2105140,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,p,2282287,2105140,4
Ton personnage est-il un écrivain ?,o,4,3,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,n,85898,3,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,p,171009,3,4
Ton personnage est-il acteur/actrice ?,o,259553,259552,4
Ton personnage est-il anglais ?,n,344112,259552,4
Ton personnage est-il décédé ?,p,430864,259552,4
Ton personnage a-t-il été roi ?,o,518058,518057,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,n,605110,518057,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,p,693548,518057,4
Ton personnage possède-t-il des armes ?,o,782123,782122,4
Ton personnage est-il méchant ? ,n,869940,782122,4
Ton personnage possède-t-il des armes ?,p,955561,782122,4
Ton personnage est-il un personnage de série télévisée ?,o,1044105,1044104,4
Ton personnage est-il méchant ? ,n,1132315,1044104,4
Ton personnage porte-t-il des chaussures ?,p,1220726,1044104,4
Ton personnage est-il un personnage de série télévisée ?,o,1309264,1309263,4
Ton personnage est-il méchant ? ,n,1397579,1309263,4
Ton personnage a-t-il des cheveux ?,p,1485126,1309263,4
Ton personnage porte-t-il des chaussures ?,o,1573701,1573700,4
Ton personnage a-t-il un rapport avec le milieu du sport ?,n,1662274,1573700,4
Ton personnage est-il un personnage de jeu vidéo ?,p,1750847,1573700,4
Ton personnage est-il américain ?,o,1839421,1839420,4
Ton personnage est-il américain ?,n,1927994,1839420,4
Ton personnage a-t-il des cheveux ?,p,2016567,1839420,4
Ton personnage a-t-il un prénom hors du commun ?,o,5,4,5
Ton personnage fait-il de la politique ?,n,27267,4,5
Ton personnage fait-il de la politique ?,p,56653,4,5
Ton personnage est-il un footballeur ?,o,85899,85898,5
Ton personnage est-il devenu connu grâce à Internet ?,n,112048,85898,5
Ton personnage est-il devenu connu grâce à Internet ?,p,141485,85898,5
Ton personnage est-il un footballeur ?,o,171010,171009,5
Ton personnage est-il devenu connu grâce à Internet ?,n,200504,171009,5
Ton personnage est-il devenu connu grâce à Internet ?,p,230028,171009,5
Ton personnage a-t-il plus de 35 ans ?,o,259554,259553,5
Ton personnage est-il musicien ?,n,286441,259553,5
Ton personnage est-il musicien ?,p,314615,259553,5
Ton personnage est-il acteur/actrice ?,o,344113,344112,5
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,n,372089,344112,5
Ton personnage est-il décédé ?,p,401613,344112,5
Ton personnage est-il anglais ?,o,430865,430864,5
Ton personnage est-il acteur/actrice ?,n,460011,430864,5
Ton personnage est-il acteur/actrice ?,p,488581,430864,5
Ton personnage est-il anglais ?,o,518059,518058,5
Ton personnage est-il dans le domaine de la musique ?,n,546593,518058,5
Ton personnage est-il dans le domaine de la musique ?,p,575733,518058,5
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,o,605111,605110,5
Ton personnage est-il acteur/actrice ?,n,634635,605110,5
Ton personnage est-il acteur/actrice ?,p,664159,605110,5
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,o,693549,693548,5
Ton personnage est-il dans le domaine de la musique ?,n,723073,693548,5
Ton personnage est-il américain ?,p,752597,693548,5
Ton personnage est-il masculin ?,o,782124,782123,5
Ton personnage a-t-il la peau blanche ?,n,811648,782123,5
Ton personnage est-il un personnage de série télévisée ?,p,841118,782123,5
Ton personnage a-t-il la peau blanche ?,o,869941,869940,5
Est-ce que ton personnage est un animal ?,n,897020,869940,5
Est-ce que ton personnage est un animal ?,p,926193,869940,5
Ton personnage est-il méchant ? ,o,955562,955561,5
Ton personnage est-il méchant ? ,n,985086,955561,5
Ton personnage a-t-il des cheveux ?,p,1014583,955561,5
Ton personnage est-il policier ou détective ?,o,1044106,1044105,5
Ton personnage possède-t-il des armes ?,n,1073435,1044105,5
Ton personnage fait-il des combats ?,p,1102791,1044105,5
Est-ce que ton personnage est un animal ?,o,1132316,1132315,5
Ton personnage porte-t-il des chaussures ?,n,1161678,1132315,5
Est-ce que ton personnage est un animal ?,p,1191202,1132315,5
Ton personnage fait-il des combats ?,o,1220727,1220726,5
Est-ce que ton personnage est un animal ?,n,1250251,1220726,5
Ton personnage fait-il des combats ?,p,1279739,1220726,5
Ton personnage est-il policier ou détective ?,o,1309265,1309264,5
Ton personnage possède-t-il des armes ?,n,1338531,1309264,5
Ton personnage fait-il des combats ?,p,1368055,1309264,5
Est-ce que ton personnage est un animal ?,o,1397580,1397579,5
Ton personnage possède-t-il des armes ?,n,1426087,1397579,5
Ton personnage a-t-il des cheveux ?,p,1455611,1397579,5
Ton personnage est-il masculin ?,o,1485127,1485126,5
Ton personnage est-il méchant ? ,n,1514651,1485126,5
Ton personnage fait-il des combats ?,p,1544175,1485126,5
Ton personnage est-il un personnage de jeu vidéo ?,o,1573702,1573701,5
Ton personnage est-il méchant ? ,n,1603226,1573701,5
Ton personnage a-t-il des cheveux ?,p,1632750,1573701,5
Ton personnage est-il un footballeur ?,o,1662275,1662274,5
Ton personnage a-t-il la peau blanche ?,n,1691799,1662274,5
Ton personnage est-il décédé ?,p,1721323,1662274,5
Ton personnage est-il décédé ?,o,1750848,1750847,5
Ton personnage est-il devenu connu grâce à Internet ?,n,1780372,1750847,5
Ton personnage porte-t-il des chaussures ?,p,1809896,1750847,5
Ton personnage porte-t-il des chaussures ?,o,1839422,1839421,5
