,Question,Selection1,Selection2,dif
0,Ton personnage est-il célèbre  ?,-4.92,4.92,9.84
1,Ton personnage est-il français ?,-4.0,5.56,9.56
2,Ton personnage est-il dans le domaine de la musique ?,-4.18,5.02,9.21
3,Ton personnage est-il un garçon ?,-3.03,4.85,7.88
4,Ton personnage a-t-il plus de 35 ans ?,-5.17,0.0,5.17
5,Ton personnage a-t-il été roi ?,0.0,-5.03,-5.03
6,Ton personnage est-il un tueur ?,-4.94,0.0,4.94
7,Est-ce que ton personnage est un animal ?,4.24,0.0,-4.24
8,Ton personnage a-t-il des yeux ?,4.16,0.0,-4.16
9,Ton personnage est-il américain ?,-4.02,0.0,4.02
10,Ton personnage voyage-t-il beaucoup ?,0.0,3.69,3.69
11,Ton personnage est-il ridicule ?,-3.49,0.0,3.49
12,Ton personnage porte-t-il des chaussures ?,-3.15,0.0,3.15
13,Ton personnage possède-t-il des armes ?,0.0,-3.02,-3.02
14,Ton personnage est-il devenu connu grâce à Internet ?,0.0,-3.01,-3.01
15,Ton personnage est-il un homme (ou une femme) politique ?,-2.84,0.0,2.84
16,Ton personnage est-il une fille ?,-2.82,0.0,2.82
17,Ton personnage est-il japonais ?,0.0,-2.77,-2.77
18,La célébrité de ton personnage est-elle en rapport avec le monde du football ?,-2.76,0.0,2.76
19,Ton personnage est-il masculin ?,0.0,2.74,2.74
