0,1,2,3,4,5,6,7,8,9
Groupe 0,645 personnages,Groupe 1,421 personnages,Groupe 2,47 personnages,Groupe 3,340 personnages,Groupe 4,83 personnages
6826,6584,6461,7497,4754,7353,3227,105,6405,6453
7201,6812,6422,7002,6566,6925,60,4234,6606,6375
235,4.06,22372,1.43,410,3.43,39353,0.02,235,6.28
255,1.0,259,1.43,317,3.19,22372,0.01,317,2.42
317,0.78,410,1.3,259,3.14,37986,0.01,363,2.36
363,0.57,294,0.58,255,2.9,2129,0.01,410,1.98
259,0.3,39353,0.49,335,2.88,696,0.0,259,1.75
19831,-2.378,235,-4.083,19831,-4.908,1647,-0.047,39353,-4.686
39353,-1.977,19831,-1.649,52872,-4.376,19295,-0.046,19831,-4.623
22372,-1.804,514,-1.614,514,-3.835,18687,-0.039,52872,-4.053
52872,-1.475,37986,-1.249,334,-3.602,51216,-0.03,22372,-3.794
685,-1.433,52872,-1.245,379,-3.36,814,-0.029,352,-3.363
