0,1,2,3,4,5
Abe Shinzo , Samir Loussif ,Adolf Hitler,Adémar Prothon (étudiant INSA),aa,	Onyx 
Ada Lovelace (comtesse brittanique programmeuse),123,Albert Einstein,Alain Delon,Abel Jabri, zero (personnage de jeu)
Adam Ondra,A rien lol,Astérix (personnage de BD),Alain Prost,Abel Jabri (apiculteur de l'INSA),Abraracourcix
Adele,Abel ,Barack Obama,Angela Merkel,Aimé Césaire (écrivain),Actarus
Aja Naomi King (actrice américaine),Abigail Marston ,Batman,Antoine de Caunes ,Alain Juppé,Adibou
Al Capone (gangster américain),Ahmed Chawki ,Charles de Gaulle ,Antoine Griezmann (Footballeur français),Alain Le Boulch,Aelita Stones 
Al-Khwarizmi (mathématicien arabe du 10e siècle),Ahmed mansour ,Dark Vador,Arnold Schwarzenegger,Alain Soral (Essayiste),Agent 47
Alan Turing,Aissa Mandi	 ,Donald Trump,Bernard-Henry Lévy (philosophe imposteur),Albert Camus,Ahri (jeu League of Legends)
Alan Walker (DJ  britannico-norvégien),Aleister Crowley ,Emmanuel Macron (président de la République Française),Bill Gates (Fondateur de Microsoft),Albert Jacquard (biologiste français),Akinator
Alex Thompson,Amadou Toumani Touré ,François Hollande,Bob Marley,Alex Keryhuel (étudiant INSA),Aladdin
