	Onyx ,Non Ton personnage est-il un tueur ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il un personnage de série télévisée ?
 Samir Loussif ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
 zero (personnage de jeu),Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?
123,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un enfant ? ,Non Ton personnage est-il un personnage de jeu vidéo ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage vit-il dans un monde imaginaire ?
A rien lol,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
aa,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Abe Shinzo ,Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?
Abel ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Abel Jabri,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Abel Jabri (apiculteur de l'INSA),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
