Axe_X,Axe_Y,Name,Cluster,Medoid
-24.250006,1.5302223,	Onyx ,Groupe 5,0
-5.312629,13.718835, Samir Loussif ,Groupe 1,0
-35.863995,-8.243612, zero (personnage de jeu),Groupe 5,0
-15.263757,-1.5475069,123,Groupe 1,0
-7.037831,14.12842,A rien lol,Groupe 1,0
48.49007,-8.60381,aa,Groupe 4,0
18.558567,1.8113977,Abe Shinzo ,Groupe 0,0
-4.561759,25.612679,Abel ,Groupe 1,0
45.67531,-13.441207,Abel Jabri,Groupe 4,1
46.74663,-18.453789,Abel Jabri (apiculteur de l'INSA),Groupe 4,0
-7.0274215,12.60715,Abigail Marston ,Groupe 1,0
-45.458748,-4.6391025,Abraracourcix,Groupe 5,0
-43.49832,-16.037455,Actarus,Groupe 5,0
28.300072,10.859517,Ada Lovelace (comtesse brittanique programmeuse),Groupe 0,0
-3.048207,-16.992222,Adam Ondra,Groupe 0,0
7.5500994,-13.337764,Adele,Groupe 0,0
48.303585,-23.780212,Adémar Prothon (étudiant INSA),Groupe 3,0
-39.451015,-1.4573522,Adibou,Groupe 5,0
36.121822,-0.12043206,Adolf Hitler,Groupe 2,0
-53.179436,-2.2755306,Aelita Stones ,Groupe 5,0
-31.842466,-10.673175,Agent 47,Groupe 5,0
-8.306575,13.91869,Ahmed Chawki ,Groupe 1,0
-7.7188077,14.555307,Ahmed mansour ,Groupe 1,0
-39.14713,-4.672079,Ahri (jeu League of Legends),Groupe 5,0
24.703009,-10.777651,Aimé Césaire (écrivain),Groupe 4,0
-7.57536,13.384484,Aissa Mandi	 ,Groupe 1,0
3.632253,-18.606138,Aja Naomi King (actrice américaine),Groupe 0,0
-27.205109,-2.2369351,Akinator,Groupe 5,0
-13.7772455,-4.1650233,Al Capone (gangster américain),Groupe 0,0
28.467712,15.644804,Al-Khwarizmi (mathématicien arabe du 10e siècle),Groupe 0,0
-44.111607,-17.189907,Aladdin,Groupe 5,0
45.798256,-1.7478383,Alain Delon,Groupe 3,0
61.577473,-18.079987,Alain Juppé,Groupe 4,0
48.40599,-17.932226,Alain Le Boulch,Groupe 4,0
49.28015,1.2742311,Alain Prost,Groupe 3,0
63.806458,-16.13978,Alain Soral (Essayiste),Groupe 4,0
27.458187,11.844041,Alan Turing,Groupe 0,0
9.848969,-23.056892,Alan Walker (DJ  britannico-norvégien),Groupe 0,0
-47.637604,-7.875552,Albator,Groupe 5,0
28.393766,-14.1743355,Albert Camus,Groupe 4,0
38.57966,-3.2477896,Albert Einstein,Groupe 2,0
32.501717,-7.4989357,Albert Jacquard (biologiste français),Groupe 4,0
-47.520435,15.546595,Albus Dumbledore (personnage de Harry Potter),Groupe 5,0
-26.101824,-9.563594,Alduin (personnage de Skyrim),Groupe 5,0
7.435942,5.1061707,Aleister Crowley ,Groupe 1,0
-44.64739,15.40199,Alex (Totally Spies),Groupe 5,0
50.7621,-21.361542,Alex Keryhuel (étudiant INSA),Groupe 4,0
0.90309584,-16.834589,Alex Thompson,Groupe 0,0
-47.870182,11.85381,Alex Vaus (Personnage de serie TV:Orange is the new black),Groupe 5,0
56.87202,-17.913982,Alexandre Benalla,Groupe 4,0
55.086494,10.45954,Alexandre Lacazette,Groupe 4,0
20.60888,3.1341133,Alexandre le Grand ,Groupe 0,0
20.982561,13.385633,Alfred Hitchcock,Groupe 0,0
-36.82229,9.591368,Alice (du livre Alice au pays des merveilles),Groupe 5,0
53.788216,7.794068,allison pineau (joueuse de handball),Groupe 4,0
-40.24352,-5.5225472,Aloy (Horizon : zero dawn),Groupe 5,0
58.786205,7.2513056,alphonse Marçay,Groupe 4,0
-35.439148,-6.699005,Altair,Groupe 5,0
-6.4604273,15.800209,Amadou Toumani Touré ,Groupe 1,0
24.961777,19.727385,Amaterasu (déesse japonaise du soleil),Groupe 0,0
-5.088502,15.340572,Amaterasu Okami ,Groupe 1,0
26.150026,-9.3577585,Ambroise Paré,Groupe 4,0
20.908352,12.126078,Amelia Earhart,Groupe 0,0
55.054104,6.0924315,Amélie Mauresmo,Groupe 4,0
57.820507,10.510446,Amine Harit (footballeur),Groupe 4,0
-5.8132143,15.008606,Amiral Yamamoto ,Groupe 1,0
-12.1837225,26.046219,Amy Reid ,Groupe 1,0
-50.302147,-10.023087,Anakin Skywalker,Groupe 5,0
27.914497,-14.493408,André Malraux,Groupe 4,0
-6.836592,13.3962755,André Mathevet ,Groupe 1,0
-6.51561,14.715755,Andrew Martin ,Groupe 1,0
-46.533607,-6.9004602,Andrew Wiggins (personnage livre),Groupe 5,0
-22.878153,-2.7785845,Anduin Wrynn,Groupe 5,0
-5.687699,12.298499,Andy ,Groupe 1,0
6.6100535,-5.283795,Andy Serkis (acteur brittanique),Groupe 0,0
15.750697,-22.963345,Angela Merkel,Groupe 3,0
6.6569376,-5.275176,Angelina Jolie (actrice),Groupe 0,0
-5.0682225,12.864088,Anissa ,Groupe 1,0
32.18042,-3.331375,Anne de Bretagne,Groupe 4,0
7.350503,14.361431,Anne Hidalgo ,Groupe 1,0
9.523542,-26.917677,Annie Cordy,Groupe 0,0
5.142686,18.642061,Ant-man ,Groupe 1,0
-46.67228,-5.6943417,Ant-man (super héros Marvel),Groupe 5,0
55.244545,6.077073,Anthony Cornet (rameur barreur français),Groupe 4,0
-6.082873,11.771205,Anti-venom ,Groupe 1,0
50.90697,5.4614005,Antoine Albeau (sportif (planche à voile) francais le plus titré ,Groupe 4,0
-3.958352,13.410146,Antoine Barrier ,Groupe 1,0
53.99523,-21.513212,Antoine Daniel (vidéaste web),Groupe 4,0
43.38863,-5.299073,Antoine de Caunes ,Groupe 3,0
