id,Axe_X,Axe_Y,Name,Cluster
252921.86794,20.857153,	Onyx ,Groupe 1
60810.05306,1.6869811, Samir Loussif ,Groupe 3
741014.574009,31.396137, zero (personnage de jeu),Groupe 1
733617.466646,13.375495,123,Groupe 2
72308.98107,2.651037,A rien lol,Groupe 3
6598-5.947191,-41.96422,aa,Groupe 2
76288.374842,2.3717244,Abdülhamid II (sultan ottoman),Groupe 3
76219.404038,2.1314726,7621"Abdümalid 2 le Pieu Sultan de l'Empire Ottoman",Groupe 3
2055-8.439578,-21.772476,Abe Shinzo ,Groupe 2
3379-2.2083392,15.47916,Abel ,Groupe 3
6688-9.850109,-54.16515,Abel Jabri,Groupe 2
7074-5.3207574,-54.944992,Abel Jabri (apiculteur de l'INSA),Groupe 2
13438.390941,1.0557488,Abigail Marston ,Groupe 3
710918.043503,42.086124,Abraracourcix,Groupe 1
642211.13055,44.950306,Actarus,Groupe 1
7525-29.985516,10.366085,Ada Lovelace (comtesse brittanique programmeuse),Groupe 2
6907-28.246777,-16.082132,Adam Ondra,Groupe 2
6658-21.010658,-10.551105,Adele,Groupe 2
7268-0.418802,-44.31988,Adémar Prothon (étudiant INSA),Groupe 2
67047.242505,36.18901,Adibou,Groupe 1
2574-10.270788,-27.799387,Adolf Hitler,Groupe 0
32124.8664365,49.07693,Aelita Stones ,Groupe 1
649816.189054,29.453926,Agent 47,Groupe 1
55629.043151,3.4445198,Ahmed Chawki ,Groupe 3
55857.5451384,0.0050836476,Ahmed mansour ,Groupe 3
737713.151733,34.866108,Ahri (jeu League of Legends),Groupe 1
749317.811071,-16.855944,Aimé Césaire (écrivain),Groupe 2
53989.736568,0.37414923,Aissa Mandi	 ,Groupe 3
6889-17.203611,-17.304113,Aja Naomi King (actrice américaine),Groupe 2
669426.605495,19.101307,Akinator,Groupe 0
746116.050179,14.906893,Al Capone (gangster américain),Groupe 2
7292-27.924047,15.787276,Al-Khwarizmi (mathématicien arabe du 10e siècle),Groupe 2
640810.980242,46.13136,Aladdin,Groupe 0
6518-13.929749,-39.354076,Alain Delon,Groupe 0
6866-14.333575,-50.25944,Alain Juppé,Groupe 2
6857-6.3316746,-52.78643,Alain Le Boulch,Groupe 2
6378-19.61993,-39.06327,Alain Prost,Groupe 0
6493-16.486563,-48.243835,Alain Soral (Essayiste),Groupe 2
6699-31.245,11.790094,Alan Turing,Groupe 2
7042-30.438494,-8.738016,Alan Walker (DJ  britannico-norvégien),Groupe 2
751921.644735,43.301773,Albator,Groupe 1
741622.73529,-22.307775,Albert Camus,Groupe 2
6386-11.836157,-30.518726,Albert Einstein,Groupe 0
743814.6380005,-26.423859,Albert Jacquard (biologiste français),Groupe 2
73867.9870925,49.68757,Albus Dumbledore (personnage de Harry Potter),Groupe 1
76317.8576207,1.6105407,Alcibiade (homme politique et général athénien),Groupe 3
706721.058258,27.701672,Alduin (personnage de Skyrim),Groupe 1
3384-2.1621537,-6.6595073,Aleister Crowley ,Groupe 3
7091-9.256351,31.685286,Alex (Totally Spies),Groupe 1
7322-1.8892671,-46.585262,Alex Keryhuel (étudiant INSA),Groupe 2
6823-23.321047,-19.77975,Alex Thompson,Groupe 2
6676-9.047723,38.286194,Alex Vaus (Personnage de serie TV:Orange is the new black),Groupe 1
7193-8.102916,-49.91561,Alexandre Benalla,Groupe 2
76488.661521,1.7395095,Alexandre Chapin,Groupe 3
6777-29.572775,-33.05774,Alexandre Lacazette,Groupe 2
626-7.6233025,-23.796764,Alexandre le Grand ,Groupe 2
6561-22.779284,9.420301,Alfred Hitchcock,Groupe 2
7489-4.222968,26.047695,Alice (du livre Alice au pays des merveilles),Groupe 1
75423.4423652,-40.25938,Alkpote (rappeur français),Groupe 2
7257-27.168016,-35.568237,allison pineau (joueuse de handball),Groupe 2
702912.563528,36.566093,Aloy (Horizon : zero dawn),Groupe 1
75455.8215103,-38.613033,Alpha Wann (rappeur français),Groupe 2
6860-31.197054,-38.659798,alphonse Marçay,Groupe 2
705611.625356,30.692194,Altair,Groupe 1
367610.23646,0.8940691,Amadou Toumani Touré ,Groupe 3
7136-22.493893,16.295767,Amaterasu (déesse japonaise du soleil),Groupe 2
60969.314814,1.3683518,Amaterasu Okami ,Groupe 3
677515.844351,-17.40426,Ambroise Paré,Groupe 2
7143-22.385977,8.042635,Amelia Earhart,Groupe 2
7429-26.47762,-37.63028,Amélie Mauresmo,Groupe 2
6876-30.859816,-30.077875,Amine Harit (footballeur),Groupe 2
294211.036437,1.18399,Amiral Yamamoto ,Groupe 3
439927.204037,6.0818152,Amy Reid ,Groupe 3
699523.981905,44.482315,Anakin Skywalker,Groupe 1
753422.8658,-21.097553,André Malraux,Groupe 2
57811.104628,2.5784695,André Mathevet ,Groupe 3
223710.539149,3.7429724,Andrew Martin ,Groupe 3
719520.388474,42.85978,Andrew Wiggins (personnage livre),Groupe 1
672223.144323,16.069527,Anduin Wrynn,Groupe 1
611811.05184,1.8862404,Andy ,Groupe 3
7499-14.414072,-15.633922,Andy Serkis (acteur brittanique),Groupe 2
6423-36.75778,-7.7594237,Angela Merkel,Groupe 0
6908-14.299808,-15.545981,Angelina Jolie (actrice),Groupe 2
10510.339899,3.056682,Anissa ,Groupe 3
68629.995209,-25.2171,Anne de Bretagne,Groupe 2
3227-6.053114,1.8520123,Anne Hidalgo ,Groupe 3
6466-32.211468,-13.667334,Annie Cordy,Groupe 2
4368-7.817722,4.939991,Ant-man ,Groupe 3
703119.074083,43.20166,Ant-man (super héros Marvel),Groupe 1
7413-26.43185,-37.73905,Anthony Cornet (rameur barreur français),Groupe 2
76479.037663,0.5666444,Anthony Modeste (joueur de foot),Groupe 3
2707.759384,2.3369308,Anti-venom ,Groupe 3
6715-22.94926,-35.65792,Antoine Albeau (sportif (planche à voile) francais le plus titré ,Groupe 2
1686.2852616,2.7601516,Antoine Barrier ,Groupe 3
69162.8604789,-48.719078,Antoine Daniel (vidéaste web),Groupe 2
3586-15.682219,-46.15882,Antoine de Caunes ,Groupe 0
6488-32.565758,-34.41023,Antoine Griezmann (Footballeur français),Groupe 0
7019-4.4712205,-47.983982,Antonin Fleury,Groupe 2
31249.02226,-8.302635,Apu Nahasapeemapetilon ,Groupe 3
324118.297256,15.981675,Aquarius ,Groupe 3
692919.87787,45.15847,Aragorn (Le Seigneur des Anneaux),Groupe 1
75564.3089523,50.01882,Archie (personnage de Riverdale),Groupe 1
708924.231586,41.42146,Arès (dieu grec de la guerre),Groupe 1
7505-19.417212,-10.606615,Ariana Grande (chanteuse américaine),Groupe 2
6668-2.090041,32.58294,Ariane,Groupe 1
7151-3.476304,27.778236,Ariel,Groupe 1
6725-24.483828,-33.959126,Armel Le Cléac'h,Groupe 0
6453-8.353137,-17.50248,Arnold Schwarzenegger,Groupe 0
751422.577742,14.346096,Artemis (déesse grecque),Groupe 1
693317.957245,31.523626,Arthas (Roi-Liche de Warcraft),Groupe 1
73506.3596797,29.347958,Arthur Morgan (personnage de Red dead Redemption 2),Groupe 1
71735.293475,52.245487,Arya Stark,Groupe 1
6619-15.677077,-20.422867,Asa Akira,Groupe 2
709320.193884,43.481613,Ashitaka (personnaage film d'animation),Groupe 1
42744.3668103,2.700963,Ashura Ôtsutsuki ,Groupe 3
55558.08557,4.4604845,Aspicot (pokemon)  ,Groupe 3
735312.037928,47.388294,Astérix (personnage de BD),Groupe 0
7121-2.0737956,26.935705,Asuna (Sword Art Online),Groupe 1
49535.952279,3.7356563,Atomic Betty ,Groupe 3
7165-15.951864,19.00453,Attila (roi de huns),Groupe 2
6938-21.641071,9.477827,August Ames (rip),Groupe 2
698615.721578,-24.953045,Augustin Louis Cauchy (mathématicien français),Groupe 2
7600-25.343615,-36.867317,Aurélie Dupont (directrice opera Paris),Groupe 2
7464-19.804113,-7.7683477,Axl Rose (chanteur de Guns N' Roses),Groupe 2
22486.8018656,4.10612,Axoloto ,Groupe 3
73355.5621963,-39.80491,Aya Nakamura (chanteuse),Groupe 2
1116.5859694,3.4975166,Ayano Kannagi ,Groupe 3
72335.638766,-37.36023,7233"B2O le duc de Boulogne",Groupe 2
718517.175034,20.8049,Babar (éléphant de dessin animé),Groupe 1
76455.4623113,6.4416714,Babu Frik (personnage de Star Wars),Groupe 3
889-7.9328847,6.6505814,Bahamut ,Groupe 3
1144-5.565851,48.04269,Balthazar Picsou ,Groupe 1
5565.7710724,5.33239,Balthazar/Cole Turner ,Groupe 3
7456-31.737736,-9.247661,Banksy (artiste brittanique),Groupe 2
6411-12.878978,-30.123672,Barack Obama,Groupe 0
717916.675014,20.270414,Barbapapa,Groupe 1
621-2.3914845,44.87443,Barbie ,Groupe 1
73018.93244,28.65486,Bart,Groupe 1
7152-5.2266464,41.79605,Bart Simpson,Groupe 1
76265.3102903,1.1156243,Basile Jézéquel (illustre élève),Groupe 3
641712.472248,49.46618,Batman,Groupe 0
39466.0598927,4.4189405,Baxter Stockman ,Groupe 3
745033.90782,37.302998,Bellatrix Lestrange (perso de Harry Potter),Groupe 1
6909-2.4027708,28.272615,Belle (La Belle et la Bête),Groupe 1
39718.247963,24.138288,Belle et Sébastien,Groupe 3
281118.263151,24.136192,Belphegor ,Groupe 3
6632-14.103213,-14.921622,Benedict Cumberbatch,Groupe 2
6433-7.993555,-22.761616,Benjamin Franklin,Groupe 2
7581-28.314646,-36.803215,Benoit Paire (tennisman français),Groupe 2
6988-34.834667,-8.305014,Benyamin Netanyahou (premier ministre Israël)),Groupe 2
7437-20.262323,-38.47362,Bernard Hinault (cycliste français),Groupe 2
7399-0.67072266,-38.3977,Bernard Minet (Chanteur),Groupe 2
6505-15.336289,-39.024307,Bernard-Henry Lévy (philosophe imposteur),Groupe 0
68940.053725734,-36.02665,Betrand Cantat,Groupe 2
6602-19.644783,-14.816671,Beyoncé,Groupe 0
74514.6585712,-39.351177,Bilal Hassani (chanteur français),Groupe 2
749522.652058,14.340598,Bilbon Saquet (hobbit),Groupe 1
7455-16.953194,-7.540439,Bill Clinton (42e président américain),Groupe 2
7396-16.172525,-6.7137012,Bill Gates,Groupe 2
6977-25.448097,-10.58619,Bill Gates (Fondateur de Microsoft),Groupe 0
747520.978361,44.546764,Black Panther (super héros Marvel),Groupe 1
3626.0592604,6.8670855,Black Star ,Groupe 3
759918.982143,41.29021,Black Widow (perso de l'univers Marvel),Groupe 1
6990-6.048641,39.54624,Blair Waldorf (série TV: Gossip Girl),Groupe 1
672915.518828,-23.944567,Blaise Pascal,Groupe 2
41787.360564,37.826324,Blanche Neige ,Groupe 1
650312.7736435,39.32196,6503"Blondin (le bon la brute et le truand)",Groupe 1
76446.417445,2.0954447,Bob Dylan (chanteur),Groupe 3
6902-0.11048781,40.066578,Bob l'éponge (personnage de dessin animé),Groupe 1
6893-0.79770994,42.360504,Bob le Bricoleur,Groupe 1
70004.6751494,-47.41821,Bob Lennon (vidéaste français),Groupe 2
6414-30.519438,5.9043736,Bob Marley,Groupe 0
674327.958397,24.579924,Boga (perso animalier de Star Wars),Groupe 1
7215-36.210533,-10.9573345,Bonno (Chanteur de U2),Groupe 2
38486.331263,-36.89184,Booba ,Groupe 2
7612-32.941387,-10.072833,Boris johnson (homme politique anglais),Groupe 2
6741-21.12582,-0.9947493,Bouna Sarr,Groupe 2
722919.352346,27.28776,Bowser (jeu vidéo Mario),Groupe 1
741119.019375,26.285444,Bowser Jr. (jeu vidéo Mario),Groupe 1
72064.887211,37.31259,Bowsette (hybride Peach & Bowser),Groupe 1
6604-11.295784,-12.951104,Brad Pitt,Groupe 2
6610-0.60225976,29.034794,Brice de Nice,Groupe 1
862-5.7228947,3.6549518,Brienne de Torth ,Groupe 3
6812-10.258598,-38.700523,Brigitte Bardot,Groupe 2
7148-10.426501,-38.85343,Brigitte Macron,Groupe 2
727124.867584,40.31304,Broly (manga dragon ball),Groupe 1
7250-26.087183,14.333902,Bruce Lee,Groupe 2
6998-8.920515,32.523163,Bruce Wayne (Batman),Groupe 1
6628-7.351208,-14.25045,Bruce Willis,Groupe 2
18626.8108263,6.3262134,Bruno Senna ,Groupe 3
708012.508176,18.167486,Bulbizarre (pokemon),Groupe 1
371323.065538,21.037552,C3PO ,Groupe 1
7275-31.209328,-7.1997685,Caballero (rappeur),Groupe 2
69019.126381,23.744188,Caca (déesse romaine du foyer et du feu) ,Groupe 1
230-6.514211,16.842438,Caca bouda ,Groupe 3
652519.606836,16.112764,Caïn (premier fils d'Adam et Eve),Groupe 1
41634.2489963,3.7113912,Cait Sith ,Groupe 3
498911.028572,20.269695,Caliméro ,Groupe 1
7398-22.79927,-15.975538,Cam Newton (joueur américain de football américain),Groupe 2
682714.176776,-22.754648,Camille Claudel,Groupe 2
7117-3.4476922,45.025063,Candy,Groupe 1
70472.4177558,27.602154,Capitaine Flam (personnage dessins animés),Groupe 1
6738-0.3615063,37.32965,Capitaine Haddock,Groupe 1
474312.470241,51.4274,Captain America ,Groupe 1
7304-10.375924,34.98484,Carl ( personnage de The walking dead ),Groupe 1
7210-14.872166,-7.9451933,Carl Lewis (athlète américain),Groupe 2
76239.379743,6.5030713,Carl Pomerance (Number theorist),Groupe 3
6964-22.343908,8.751303,Carl Sagan (scientifique américain),Groupe 2
720111.680005,-17.431505,Carlos (Tirelipimpon),Groupe 2
6814-11.107443,-45.55948,Carlos Ghosn,Groupe 2
678614.259115,-22.712938,Caroline Aigle (pilote de chasse),Groupe 2
22397.1901627,4.878109,Caroline Channing ,Groupe 3
7024-22.965069,9.672319,Carrie Fisher (Actrice de Leia),Groupe 2
737623.046556,17.958624,cars (personnage voiture dessin animé),Groupe 1
4490-4.0302067,-2.3723137,Cartman ,Groupe 3
7347-5.0880923,43.48078,Cartman (Personnage de South park),Groupe 1
709414.682005,23.354044,Casimir (personnage de vieux dessin animé),Groupe 1
64131.8157887,19.814472,Casper,Groupe 1
35818.010969,6.0337553,Casquette ,Groupe 3
70575.3060684,45.364063,Castiel,Groupe 1
66087.9884453,-22.179342,Catherine de Medicis,Groupe 2
694316.720865,-16.99813,Cauchy (scientifique),Groupe 2
38918.921661,5.991341,Cédric Barbosa ,Groupe 3
6387.827795,5.137982,Cédric Orléans ,Groupe 3
6441-11.833436,-47.527115,Cédric Villani,Groupe 0
6677-35.161697,-6.264778,Céline Dion,Groupe 0
1234-23.523325,-36.390945,Céline Dumerc ,Groupe 2
646818.517363,17.664087,Celty Sturluson (Manga Durarara!!),Groupe 1
15318.11634,39.973595,Cendrillon ,Groupe 1
73410.112095654,48.834366,Cercei Lannister,Groupe 1
70256.0427623,22.168282,cet ordinateur,Groupe 1
7081-3.0440993,43.69556,Chandler Bing (série tv friends),Groupe 1
664614.068754,41.2719,Chandra Nalaàr,Groupe 1
6402-7.4651613,-24.333618,Charlemagne,Groupe 0
735611.651764,-19.725187,Charles aznavour,Groupe 2
6931-3.6279974,-50.300816,Charles Cornet (prof. INSA),Groupe 2
7482-29.468847,10.796596,Charles Darwin,Groupe 2
729-10.069188,-28.978695,Charles de Gaulle ,Groupe 0
6510-26.637566,10.730124,Charles Martel (Arrière grand père de Charlemagne),Groupe 2
693420.531054,-22.344067,Charles Maurras (intellectuel français),Groupe 2
327418.262852,24.134989,Charles Montgomery (Monty) Burns ,Groupe 3
6945-12.0488615,9.954333,Charles Spencer Chaplin,Groupe 2
7440-21.538904,7.392138,Charlie Chaplin,Groupe 2
6689-30.572485,10.013955,Charlotte Bronte (ecrivain anglaise),Groupe 2
7174-4.1677113,-41.355812,Charlotte Richard,Groupe 2
6776-23.992584,13.813784,Che Guevara,Groupe 2
647719.971155,6.2525086,Cheikh Ndoye,Groupe 2
7078-19.7009,12.016558,Chester Bennington (chanteur Linkin Park),Groupe 2
752411.264844,-18.466902,chevalier de Saint-George (escrimeur et musicien français),Groupe 2
707319.109701,38.510136,Chewbacca,Groupe 1
446310.105691,7.0679774,Chien ,Groupe 3
6709-3.8253431,24.85104,Chiiro,Groupe 1
76177.7918897,3.0360937,Chilla (rappeuse),Groupe 3
38687.5614734,6.6046906,Chilled (Dragon Ball),Groupe 3
65947.445791,-18.047697,Chopin,Groupe 2
7248-20.424814,-36.74528,Christian Fazzino (pétanqueur),Groupe 2
6469-13.902791,-43.43007,Christian Raymond (prof. INSA),Groupe 0
6473-11.756263,-39.589245,Christian Taubira (femme politique),Groupe 2
65962.8134315,-35.728703,Christophe Maé,Groupe 2
7045-25.197927,-19.343716,Christopher Froome (cycliste),Groupe 2
7357-31.605263,-11.475225,Christopher Nolan (réalisateur britanno-américain),Groupe 2
149411.637011,52.938828,Chuck Bartowski ,Groupe 1
6383-8.246219,-18.034948,Chuck Norris,Groupe 0
237610.206637,38.57977,Chun-Li (jeu vidéo Steet-Fighter),Groupe 1
7490-15.927732,19.039469,Cicéron (consul Romain),Groupe 2
14798.371002,7.4449306,Clara Alonso ,Groupe 3
6667-8.677724,-40.0373,Clara Morgane (Actrice),Groupe 2
7305-6.2732882,40.981045,Clara Oswald (personnage de Doctor Who),Groupe 1
65867.142703,-18.647749,Claude François,Groupe 2
73660.074892335,-47.852325,Clément Aycard (majorant),Groupe 2
6810-23.685057,19.81624,cleopatre,Groupe 2
3024-9.290394,-21.278612,Clint Eastwood,Groupe 2
740710.1086855,-24.269133,Clovis (roi des francs saliens),Groupe 2
648416.598421,-18.55564,Coluche,Groupe 2
43177.5264416,7.4415846,Commando Clone ,Groupe 3
573716.452152,29.180748,Corvo Attano ,Groupe 1
2099.198319,7.319516,Corvus ,Groupe 3
322123.7321,-5.5691724,Cranky Kong ,Groupe 3
717611.224806,31.79253,Crash Bandicoot,Groupe 1
508520.07699,27.002403,Creeper ,Groupe 1
2438-28.66579,-20.94099,Cristiano Ronaldo ,Groupe 0
14436.1430697,5.8814664,Croutard ,Groupe 3
26848.448084,6.663701,Cthulhu ,Groupe 3
683510.262119,35.92347,Curly Brace,Groupe 1
704915.564079,41.196632,Cyclope (personnage des X-Men),Groupe 1
68334.1558595,-49.084686,cyprien,Groupe 2
66954.03773,-50.988346,Cyprien Iov,Groupe 2
269-7.4200144,-4.6543612,Cyril Dumoulin ,Groupe 3
7608-11.057105,-52.879833,Cyril Hanouna (Présentateur de Touche pas à mon Poste),Groupe 2
72071.2936836,-44.784405,d,Groupe 2
142018.167477,9.393443,Daario Naharis ,Groupe 3
70962.9967377,50.552155,Daenerys Targaryen (Game of throne),Groupe 1
6675-0.85802466,42.321465,Daiki Aomine (personnage de manga),Groupe 1
7459-29.372396,-2.266055,Dalaï-lama,Groupe 2
67817.3982754,-16.143587,Dalida (chanteuse franbçaise),Groupe 2
7391-31.125296,-7.2689137,Damien Chazelle (réalisateur),Groupe 2
