Axe_X,Axe_Y,Name,Cluster
-27.230392,-0.1370606,	Onyx ,Groupe 7
2.3887043,-9.041883, Samir Loussif ,Groupe 1
-23.317629,-14.703827, zero (personnage de jeu),Groupe 7
-15.043951,3.4780028,123,Groupe 1
1.444403,-11.547828,A rien lol,Groupe 1
16.813158,41.652966,aa,Groupe 3
-3.225618,30.499136,Abe Shinzo ,Groupe 8
13.010266,-13.328087,Abel ,Groupe 1
12.250929,52.26299,Abel Jabri,Groupe 3
14.700272,49.357647,Abel Jabri (apiculteur de l'INSA),Groupe 3
-0.3060906,-9.659828,Abigail Marston ,Groupe 1
-33.413025,-20.014128,Abraracourcix,Groupe 7
-35.84827,-29.549955,Actarus,Groupe 4
38.63946,-4.3949,Ada Lovelace (comtesse brittanique programmeuse),Groupe 5
9.275339,14.140481,Adam Ondra,Groupe 8
-5.0184464,15.196036,Adele,Groupe 8
10.380128,41.4597,AdÃ©mar Prothon (Ã©tudiant INSA),Groupe 3
-25.586504,-21.51729,Adibou,Groupe 4
35.910744,5.5560513,Adolf Hitler,Groupe 2
-43.22725,-17.343412,Aelita Stones ,Groupe 7
-24.538248,-10.27507,Agent 47,Groupe 7
0.55270183,-10.100979,Ahmed Chawki ,Groupe 1
2.5789456,-10.236079,Ahmed mansour ,Groupe 1
-25.505346,-17.719154,Ahri (jeu League of Legends),Groupe 7
21.59471,1.8026781,AimÃ© CÃ©saire (Ã©crivain),Groupe 0
-0.96820486,-11.197071,Aissa Mandi	 ,Groupe 1
-8.466127,20.39394,Aja Naomi King (actrice amÃ©ricaine),Groupe 8
-30.09423,-2.7611463,Akinator,Groupe 9
-14.878554,1.7207032,Al Capone (gangster amÃ©ricain),Groupe 5
35.383293,-7.379313,Al-Khwarizmi (mathÃ©maticien arabe du 10e siÃ¨cle),Groupe 5
-36.60184,-30.19418,Aladdin,Groupe 9
23.218502,39.40422,Alain Delon,Groupe 3
6.8019853,54.613804,Alain JuppÃ©,Groupe 3
12.986695,49.72076,Alain Le Boulch,Groupe 3
26.350197,35.113514,Alain Prost,Groupe 6
6.350572,56.773335,Alain Soral (Essayiste),Groupe 3
39.866177,-6.309768,Alan Turing,Groupe 5
4.3262606,17.725477,Alan Walker (DJ  britannico-norvÃ©gien),Groupe 8
-37.227562,-19.52138,Albator,Groupe 7
27.746967,1.4910132,Albert Camus,Groupe 0
25.865961,47.078194,Albert Einstein,Groupe 2
26.970152,9.96169,Albert Jacquard (biologiste franÃ§ais),Groupe 0
-16.28226,-36.95524,Albus Dumbledore (personnage de Harry Potter),Groupe 7
-25.51571,-6.7763085,Alduin (personnage de Skyrim),Groupe 7
-10.987273,2.1920433,Aleister Crowley ,Groupe 1
-13.9491625,-33.316315,Alex (Totally Spies),Groupe 7
11.2170515,44.37661,Alex Keryhuel (Ã©tudiant INSA),Groupe 3
-3.5316775,23.449503,Alex Thompson,Groupe 8
-20.597195,-33.11937,Alex Vaus (Personnage de serie TV:Orange is the new black),Groupe 7
7.575444,49.192444,Alexandre Benalla,Groupe 3
29.892056,26.281996,Alexandre Lacazette,Groupe 8
-1.0717223,30.978296,Alexandre le Grand ,Groupe 5
35.066124,-14.922,Alfred Hitchcock,Groupe 5
-12.190869,-19.208424,Alice (du livre Alice au pays des merveilles),Groupe 7
27.279142,28.110216,allison pineau (joueuse de handball),Groupe 8
-26.853119,-18.560986,Aloy (Horizon : zero dawn),Groupe 7
26.55728,23.390947,alphonse MarÃ§ay,Groupe 8
-20.914892,-17.640688,Altair,Groupe 7
0.55542827,-12.40738,Amadou Toumani TourÃ© ,Groupe 1
30.483274,-9.538628,Amaterasu (dÃ©esse japonaise du soleil),Groupe 5
1.0551407,-10.6714325,Amaterasu Okami ,Groupe 1
23.143047,3.195122,Ambroise ParÃ©,Groupe 0
36.854473,-14.661504,Amelia Earhart,Groupe 5
25.33277,26.802214,AmÃ©lie Mauresmo,Groupe 8
29.110828,23.345976,Amine Harit (footballeur),Groupe 8
-0.28888416,-12.273842,Amiral Yamamoto ,Groupe 1
-2.0996864,-24.694445,Amy Reid ,Groupe 1
-39.314217,-22.284761,Anakin Skywalker,Groupe 4
27.412682,0.99623996,AndrÃ© Malraux,Groupe 0
-0.35591578,-11.666833,AndrÃ© Mathevet ,Groupe 1
1.4527155,-12.402305,Andrew Martin ,Groupe 1
-35.902,-19.99459,Andrew Wiggins (personnage livre),Groupe 7
-30.832926,1.7747986,Anduin Wrynn,Groupe 7
0.25421354,-9.497409,Andy ,Groupe 1
-11.221798,19.88369,Andy Serkis (acteur brittanique),Groupe 8
3.6776893,24.71492,Angela Merkel,Groupe 6
-11.375369,19.856384,Angelina Jolie (actrice),Groupe 8
1.0086248,-9.665447,Anissa ,Groupe 1
22.884706,9.837701,Anne de Bretagne,Groupe 0
-3.5325873,3.3165312,Anne Hidalgo ,Groupe 1
9.284579,23.43444,Annie Cordy,Groupe 8
10.281732,-2.1154594,Ant-man ,Groupe 1
-34.727333,-21.119097,Ant-man (super hÃ©ros Marvel),Groupe 7
25.360596,26.633747,Anthony Cornet (rameur barreur franÃ§ais),Groupe 8
1.789111,-13.75876,Anti-venom ,Groupe 1
25.785992,31.338589,Antoine Albeau (sportif (planche Ã  voile) francais le plus titrÃ© ,Groupe 8
2.6255405,-11.416241,Antoine Barrier ,Groupe 1
6.482536,43.92763,Antoine Daniel (vidÃ©aste web),Groupe 3
3.551743,54.7147,Antoine de Caunes ,Groupe 6
31.669853,24.276575,Antoine Griezmann (Footballeur franÃ§ais),Groupe 6
13.744985,44.38842,Antonin Fleury,Groupe 3
9.0688,-13.899316,Apu Nahasapeemapetilon ,Groupe 1
-15.440265,0.38647917,Aquarius ,Groupe 1
-36.370445,-23.477812,Aragorn (Le Seigneur des Anneaux),Groupe 7
-37.532753,-17.395735,ArÃ¨s (dieu grec de la guerre),Groupe 7
-2.988779,13.528406,Ariana Grande (chanteuse amÃ©ricaine),Groupe 8
-20.2172,-23.33385,Ariane,Groupe 7
-17.424284,-14.2264595,Ariel,Groupe 4
28.500309,31.325052,Armel Le ClÃ©ac'h,Groupe 8
-9.824629,28.266613,Arnold Schwarzenegger,Groupe 6
-34.937435,-1.3926482,Artemis (dÃ©esse grecque),Groupe 7
-33.24927,-9.095121,Arthas (Roi-Liche de Warcraft),Groupe 7
-14.369434,-22.58036,Arthur Morgan (personnage de Red dead Redemption 2),Groupe 7
-43.88467,-20.143908,Arya Stark,Groupe 7
-8.834724,23.485336,Asa Akira,Groupe 8
-35.924,-20.602886,Ashitaka (personnaage film d'animation),Groupe 7
0.79134446,-11.217867,Ashura Ãtsutsuki ,Groupe 1
1.9552989,-12.9628,Aspicot (pokemon)  ,Groupe 1
-37.47087,-29.61959,AstÃ©rix (personnage de BD),Groupe 9
-14.097856,-18.302473,Asuna (Sword Art Online),Groupe 7
1.0904657,-13.173571,Atomic Betty ,Groupe 1
-11.0129385,6.6506147,Attila (roi de huns),Groupe 5
36.45801,-13.419262,August Ames (rip),Groupe 5
27.879824,8.67996,Augustin Louis Cauchy (mathÃ©maticien franÃ§ais),Groupe 0
-4.622322,13.280077,Axl Rose (chanteur de Guns N' Roses),Groupe 8
2.7095656,-13.308547,Axoloto ,Groupe 1
